card_id,customer_id,card_number,card_type,expiration_date,security_code
5b3f6cef-2879-4444-aaf6-9abfcd402f33,3bceea5b-7d1b-4c04-bb89-4b492566c6cc,3566158166715041,debit,02/25,112
607109c5-b9bf-4ee3-8bbc-e0a6b9b4a7da,a1d68618-b736-4926-a625-b88baf7448fb,2486526752241961,credit,02/26,622
cfad4585-f49e-41f6-a53f-3a27041a90e7,7f52fc27-960e-45c1-a0e4-2a304c3efaf9,501847209886,credit,10/24,341
eeb0c85d-1f24-4fdd-8203-a7e69b46cebe,c9fa5144-3aff-4075-aa79-92a5b817099e,3552225997568752,debit,02/28,408
9800d71a-3fcb-4dac-8ad3-f9ffc1b29b2a,d0e72882-70ea-47d5-aa4e-805404a8abfc,30552953559535,credit,11/25,670
1e98c417-bd56-4131-8596-7aad6664f080,9918bd96-126a-4f28-82a9-e8d4aee2c32c,502036026297,debit,08/25,055
9090e8ca-751f-46cb-a8d4-8d6d7d7e3ced,287ac737-fb7f-4936-8bc3-d5cc06e707c5,6504353333131978,credit,10/25,980
11d7dbeb-7110-4a4a-aaa5-0346ef7fcea8,1066c4ec-8eb7-4da0-9503-086fb7e70998,376295543151916,credit,08/24,991
92f5036a-58f2-443a-8c65-4a3cdf428af6,6006d053-de47-4bd1-a228-5c8ed5f09880,340908732805018,debit,12/25,901
d5659577-b32a-4757-870b-ff5402cb032d,5956a65f-e6a2-4b74-b1ab-15bafa770385,676319717648,credit,06/25,6614
6ccc9c34-bae7-424b-b2ab-0d6cb13b6417,05662e1f-96a8-4d04-b3b4-c4299454da03,6503437893085426,debit,08/27,658
9fe554da-ac4c-4428-9e62-6b2f9f220c53,073d9475-868a-4f5d-b72c-f7b0437b5b38,4429390033824,debit,04/27,4598
cdfb9c65-39b9-4521-b572-a78d21e61f47,b365ec54-3bcf-4773-aea2-25cfa8ba717b,675957376071,debit,06/28,895
e8e3d4d2-748d-4fe7-9005-5147ec5529bf,4b838361-6ea7-408f-ad3b-b7fc6ac6015c,2626076531520112,debit,06/28,001
76c1ae37-58de-40d7-aa6f-2cb22d4632ed,5776f156-1630-4293-b909-963218e22b75,6599485206652163,credit,12/24,827
bd0ee03f-e438-43b7-be7f-4ad4e0eb8421,46b61cb2-c0ea-4f1a-8f02-dedd290fa1d6,213158149750936,credit,02/26,418
878c407e-f81f-4bdf-b3b6-e186934d1f2a,0a7a4b8e-6381-413d-b2e4-c0141ade5f52,347004082547674,debit,08/25,592
4a520aab-e4f8-44f4-920d-f29c887212bf,bff54c4d-6745-4872-b996-e6116a1a13fb,373580557760493,debit,02/26,513
6473fe3f-17ea-4e1b-be73-29c7b9b2e8d9,abe9e927-f47c-48d0-9c93-ef752658e5d5,2280712323104619,debit,05/25,773
9229db2a-a259-4a1d-86c8-1324fb1af10a,0a7a4b8e-6381-413d-b2e4-c0141ade5f52,379608885616568,credit,07/27,615
c5e12a20-4f1b-4d0b-8c5a-46261f506875,4bc720a5-7c82-47db-a495-922e88f96a70,30141705453013,credit,09/24,564
19757593-e9a2-4f51-bc74-fb7cc28c0b7c,058edb09-b3ce-413a-bb14-438f6dc54cde,3587788108945499,credit,10/27,170
24029d5a-807b-4361-be1d-40c1877f1500,8f1519b4-f8bd-4547-ab4c-0d16fda78ace,5387042690107762,debit,07/27,708
3f9886a4-5452-4c6d-bf06-3308c178c245,44042ce7-9c49-49b3-a9e1-74c18571d550,2704979620390138,debit,07/26,2353
c5c727c1-9844-483e-9f10-973548475a95,e354c045-fb6c-463e-82aa-a9ae178798a7,2286538864360854,credit,12/25,012
1f1c655a-0d27-4b9f-a783-f89de1b7c9f0,784f9bb3-bf26-49b1-8373-245c731de5d7,3534618988312375,debit,09/25,847
83f45d27-50ea-49cb-86f0-f5caa115b994,c9666428-26d5-4a89-8c76-b8f05d81ac5c,372048220988496,credit,09/25,249
c7750662-0f61-41b3-826f-23b1be2dc3ab,1d9450fa-794f-4386-9cf7-1518f10fa3a7,213169489779849,debit,04/27,0698
97ba0cca-a62b-459d-9c71-571fba9314fb,9800b03b-744b-40bf-9380-f377789f3aaa,4415842138970112,debit,01/27,586
a6539049-3df6-4899-a75b-b258a4e7f224,76ea9b90-7e15-478a-a494-75f55570734b,6528594192857409,debit,08/27,906
cabbef51-31a1-46d7-ac2c-ed980494bdc6,6be90988-2b7d-432b-a424-9487407ac359,503812736752,credit,09/25,112
