customer_id,name,address,phone,email,dob
b0fb40fb-1895-4033-9502-aecb5267546b,Jessica Anderson,"49628 Joseph Roads
North Spencerland, PR 14799",(414)321-6412,jlopez@example.net,1990-09-07
44ae3fc5-8805-4a83-af77-bb7d2b05192b,Arthur Davis,"21998 Terri Hills
Pattonberg, NV 39139",4527431199,zmoore@example.com,2000-10-14
57133411-6b41-4812-a944-dc705c076a81,Pamela Gibson,"492 Estrada Freeway
Garzastad, PR 03168",8494917711,davidknight@example.com,1960-04-22
b515d9d8-59fe-4598-aa70-700f2aef64d3,Kristen Pittman,"756 Brown Wall Suite 047
Williamville, IN 17819",001-626-711-5801,caroline48@example.net,1952-11-07
dfe2c511-5722-4b3d-a123-d824bba7ebab,Mr. Todd Campbell PhD,"668 Wright Mountains Apt. 938
Michelleshire, UT 41128",(253)770-9864x4505,stacycochran@example.net,1995-06-05
52039f4f-a932-4287-9431-807b823afa34,Stephanie Malone,"2923 White Brooks
North Christopherhaven, MI 09774",233.372.3085x04922,averynancy@example.org,1939-02-06
eed8c86e-46ae-4e2f-98b8-eaf7c2eaf45b,Adam Nguyen,"4286 Moreno Fall
Joshuamouth, IL 74848",(485)935-3303,jlittle@example.org,1982-11-13
92ae48f7-2b28-473f-99ff-dfbdcf4313c1,Dustin Phillips,"18997 Erickson Plains
Lake Anthony, SC 52514",2478200894,austin98@example.com,2003-01-16
68397b18-9584-4afe-abc9-028914f18f78,Becky Palmer,"2830 Martinez Landing Apt. 938
Cookburgh, WA 35584",(944)875-4464x659,sarahmcpherson@example.org,1995-03-14
f687581f-deea-42dd-a2fe-c93db85edb2b,Lisa Mosley,"USCGC Ross
FPO AP 84736",4482354179,tdavis@example.net,1983-04-25
df6cf01d-9bea-4389-aac9-6a5556f7768e,Alvin Miller,"Unit 3261 Box 9898
DPO AA 96787",(666)534-3111,fjoseph@example.com,1950-08-08
2a7f5b0b-44bc-4115-be09-cd9cde2adeb7,Sharon Richardson,"4414 Miller Pine Apt. 800
Powellside, WI 90448",001-843-560-7865x782,velazqueztony@example.org,1993-07-29
f2556526-341f-490c-8051-42898331fde8,Julia Robinson,"6054 Hubbard Burg
Amandaland, MT 97511",801-625-3447x3091,oneillmichael@example.com,1965-07-17
a1fe0121-9569-44a5-bbfe-23e96961a769,Jonathan Graham,"380 Duffy Dam
New Wanda, IL 65838",545.552.8693x70906,simmonsstephanie@example.net,1951-07-07
866238ca-8ea6-4b21-86a7-872bcc3e8f96,Katherine Melton,"1278 Adrian Trail Apt. 092
Larryshire, MO 13222",+1-729-352-3499x0456,parkerjared@example.net,1955-12-10
e09f16f5-036a-4932-b62d-f325b07b67ad,Paul Silva,"Unit 6572 Box 8509
DPO AA 01504",001-504-400-0017x48566,iward@example.com,1971-04-06
44897b83-cda3-4c0d-8b6e-e33905d1902c,Alex Thompson,"039 Mary Landing
West Jason, SC 90606",872-645-1175,klewis@example.net,1934-02-06
e730dc88-3e9a-48e2-a051-5b13d3363478,Veronica Ewing,"9550 Monica Parkways
Port Samanthaborough, KS 40828",(295)934-1779,thompsonholly@example.net,1955-12-24
d8d36b8a-4aac-4eb2-a028-37e293a8e21e,James Aguirre,"9129 Matthews Passage
West Ryanmouth, MI 69745",(805)396-6553,elizabethcraig@example.com,1941-10-22
9deb9e3f-dc8b-4683-8f1a-7b5585b0467b,Anna White,"0160 Owens Point
Port Oscarburgh, GA 89154",001-938-459-2571x77597,fowlerlorraine@example.com,1973-09-24
54641054-4d15-4447-be25-dfa2a2979afe,Maria Flores,"6133 Shaw Crossroad Suite 190
New Nathanberg, UT 65818",220.726.6615,gibsonthomas@example.org,2001-10-08
c833c8ab-8c72-4ebd-abbb-bf1bfd83f117,Gene Stewart,"934 Kelly Squares Apt. 753
South Tarahaven, PW 75761",6295362511,blarson@example.net,1956-12-04
0fc64403-54e3-4e3f-a8bd-319f27d77c38,Isaac Smith,"6297 Rodriguez Vista Suite 359
New Jennifer, DC 66747",359-352-5223x4911,erin43@example.net,1946-01-27
1f2e9ede-ec04-4a7b-87fb-dc9fcd1a842b,Thomas Dyer,"916 Jeremy Courts Suite 311
Susanton, PR 63447",001-480-422-7811x858,avilajames@example.com,1949-07-14
56d85a3e-0fc7-4e9f-8e6b-85642c3ee5bf,Michael White,"PSC 2844, Box 2440
APO AE 71411",001-878-704-6046,jennifertaylor@example.net,1945-12-27
328e2fc9-a621-4308-ba10-07990a09e63d,Jeffrey Ramsey,"0881 Robbins Meadows Suite 826
East Nancy, VA 57021",452.967.3438x32576,morgan18@example.net,1973-09-20
d620ad5c-cc29-4d12-b49e-a8a290dff721,Michele Franco,"7878 Bailey Inlet
Marytown, DC 69923",720-315-8101,cynthia40@example.org,1987-10-07
94ab592b-cada-450b-b970-97ef5b31011d,Dr. Tonya Foster DDS,"1537 Mitchell Meadows
North Grace, PA 92757",7727593586,lopezkeith@example.com,1979-01-05
e1721745-528d-4a72-83cb-f6e090b92d67,Sarah Parker,"8778 Terry Villages Suite 275
Lake Michaelstad, LA 82749",001-856-461-5019x96204,vholden@example.com,2004-08-25
bdad9d32-fe62-4073-832b-a8cb0c2a1a7a,Gabrielle Avila,"8633 Katherine Mountain
New Andrew, MS 46921",001-793-530-8089,alexandra30@example.net,1945-08-21
d5853e65-fc5a-40b0-a3c2-9012311c01ac,Elizabeth Welch,"0084 Conner Expressway Suite 859
Alexanderfurt, NV 81031",001-605-889-1087x802,dawnwang@example.com,1982-10-15
8f64b197-ec20-4b9f-8e8d-4ffaef453239,Jonathan Stafford,"Unit 9650 Box 0224
DPO AP 37054",770.723.2110x51658,derrick17@example.org,1947-12-10
74a3342c-32a8-45c6-a152-2eac2ecbd30e,Jacqueline Gonzales,"41953 Michael Extension
North Sarahport, NV 51690",(582)768-7929x8915,justinramirez@example.net,1974-12-10
82910f49-7474-484a-8555-35432976aeac,Jason Perez,"606 Anthony Overpass Apt. 743
Harrisonchester, PR 55835",8804348729,debralopez@example.net,1947-11-22
83219e65-8de7-46ba-84a8-aa7b75380876,Chad Jacobs,"05948 Spencer Bypass Suite 421
Brooksburgh, VI 28911",001-325-829-3415,robertsmith@example.net,2004-01-24
7d9bb6fb-ce01-43c8-840f-940de4340980,Debra Fernandez,"8035 Harris Port
Jennifermouth, NM 20445",001-855-683-0526x68873,vhahn@example.org,1946-02-23
4e369217-5570-410b-a50a-c8eee87b0d1e,Jeffrey Sparks,"Unit 1221 Box 1463
DPO AA 71935",001-410-742-8854,ann68@example.org,1969-01-01
