[2024-07-16T05:26:16.336+0530] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-16T05:26:16.362+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: raw_load_cards.insert_table manual__2024-07-15T23:56:10.673402+00:00 [queued]>
[2024-07-16T05:26:16.370+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: raw_load_cards.insert_table manual__2024-07-15T23:56:10.673402+00:00 [queued]>
[2024-07-16T05:26:16.370+0530] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-07-16T05:26:16.381+0530] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): insert_table> on 2024-07-15 23:56:10.673402+00:00
[2024-07-16T05:26:16.385+0530] {standard_task_runner.py:63} INFO - Started process 18920 to run task
[2024-07-16T05:26:16.388+0530] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'raw_load_cards', 'insert_table', 'manual__2024-07-15T23:56:10.673402+00:00', '--job-id', '1415', '--raw', '--subdir', 'DAGS_FOLDER/dag_raw_cards.py', '--cfg-path', '/tmp/tmp0iiyutvm']
[2024-07-16T05:26:16.390+0530] {standard_task_runner.py:91} INFO - Job 1415: Subtask insert_table
[2024-07-16T05:26:16.424+0530] {task_command.py:426} INFO - Running <TaskInstance: raw_load_cards.insert_table manual__2024-07-15T23:56:10.673402+00:00 [running]> on host kali
[2024-07-16T05:26:16.485+0530] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='raw_load_cards' AIRFLOW_CTX_TASK_ID='insert_table' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T23:56:10.673402+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-07-15T23:56:10.673402+00:00'
[2024-07-16T05:26:16.485+0530] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-16T05:26:16.505+0530] {logging_mixin.py:188} INFO - card_id`,`customer_id`,`card_number`,`card_type`,`expiration_date`,`security_code`,`ingetion_timestamp
[2024-07-16T05:26:16.508+0530] {logging_mixin.py:188} INFO - ('5c3cb88c-04ff-4ec1-b3ad-818d75ed10a2', 'd7afcc9f-e8f9-4fba-bff9-d15401b332fa', 346313679467613, 'credit', '06/28', 628, Timestamp('2024-07-16 05:26:16.503890'))
[2024-07-16T05:26:16.509+0530] {logging_mixin.py:188} INFO - ('8cdebc27-0a04-4a8b-ae9b-39179d9df408', 'ebfb1ceb-7533-4e9e-b0c5-e0ed83eae578', 6011622976556303, 'credit', '10/27', 658, Timestamp('2024-07-16 05:26:16.503890'))
[2024-07-16T05:26:16.509+0530] {logging_mixin.py:188} INFO - ('f76d49a3-c540-4879-b961-a3d6c1997d49', '6b3afaa0-9fb1-4fd8-905f-efe8e65d1da1', 2613995436027920, 'credit', '08/26', 334, Timestamp('2024-07-16 05:26:16.503890'))
[2024-07-16T05:26:16.510+0530] {logging_mixin.py:188} INFO - ('91b26a01-567e-4b76-8ebd-8314299c8ec2', '6b099463-2558-4328-95d2-61aa207d17b7', 4056072496159440974, 'debit', '04/26', 612, Timestamp('2024-07-16 05:26:16.503890'))
[2024-07-16T05:26:16.511+0530] {logging_mixin.py:188} INFO - ('027d5402-2549-40aa-9c60-a260a3a2f975', 'd0ade0c2-d058-4034-9665-a7f7174f48c0', 344123283423627, 'debit', '08/24', 562, Timestamp('2024-07-16 05:26:16.503890'))
[2024-07-16T05:26:16.511+0530] {logging_mixin.py:188} INFO - ('a9f6a1db-a1f5-4599-b1dc-9e485b97c937', '9a1cb6cc-e159-4fab-a5c2-6f1f87969762', 4931040548186147668, 'debit', '01/27', 157, Timestamp('2024-07-16 05:26:16.503890'))
[2024-07-16T05:26:16.512+0530] {logging_mixin.py:188} INFO - ('fa3f0414-36a4-4ff6-84e6-29d449b36523', '10571e1c-8e97-4805-8ec4-7094d272c1d5', 3581343836224456, 'debit', '11/26', 964, Timestamp('2024-07-16 05:26:16.503890'))
[2024-07-16T05:26:16.512+0530] {logging_mixin.py:188} INFO - ('b5752ddc-0c79-46cf-bccf-d0ca0102850a', '6def626e-cfb1-453e-93c0-93476be8d0c5', 4996518381931386670, 'debit', '06/25', 632, Timestamp('2024-07-16 05:26:16.503890'))
[2024-07-16T05:26:16.513+0530] {logging_mixin.py:188} INFO - ('9c92f3ee-fc9d-4de9-b7df-b78de57465b0', '868dd066-2f61-408e-b51e-2b32a553c3a6', 5166559144702465, 'debit', '06/25', 917, Timestamp('2024-07-16 05:26:16.503890'))
[2024-07-16T05:26:16.513+0530] {logging_mixin.py:188} INFO - ('66a9ec89-76e7-42b2-919a-32f777596a24', '443c4ca0-114b-439d-8aa2-ff8379a8f0ba', 4393030858208694851, 'debit', '04/25', 588, Timestamp('2024-07-16 05:26:16.503890'))
