[2024-07-14T03:09:26.104+0530] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-14T03:09:26.128+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: raw_load_customers.insert_table manual__2024-07-13T21:37:50.170071+00:00 [queued]>
[2024-07-14T03:09:26.141+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: raw_load_customers.insert_table manual__2024-07-13T21:37:50.170071+00:00 [queued]>
[2024-07-14T03:09:26.141+0530] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2024-07-14T03:09:26.159+0530] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): insert_table> on 2024-07-13 21:37:50.170071+00:00
[2024-07-14T03:09:26.166+0530] {standard_task_runner.py:63} INFO - Started process 28567 to run task
[2024-07-14T03:09:26.171+0530] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'raw_load_customers', 'insert_table', 'manual__2024-07-13T21:37:50.170071+00:00', '--job-id', '1370', '--raw', '--subdir', 'DAGS_FOLDER/dag_raw_customers.py', '--cfg-path', '/tmp/tmpt9j_howe']
[2024-07-14T03:09:26.174+0530] {standard_task_runner.py:91} INFO - Job 1370: Subtask insert_table
[2024-07-14T03:09:26.220+0530] {task_command.py:426} INFO - Running <TaskInstance: raw_load_customers.insert_table manual__2024-07-13T21:37:50.170071+00:00 [running]> on host kali
[2024-07-14T03:09:26.311+0530] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='raw_load_customers' AIRFLOW_CTX_TASK_ID='insert_table' AIRFLOW_CTX_EXECUTION_DATE='2024-07-13T21:37:50.170071+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-07-13T21:37:50.170071+00:00'
[2024-07-14T03:09:26.312+0530] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-14T03:09:26.343+0530] {logging_mixin.py:188} INFO - customer_id`,`name`,`address`,`phone`,`email`,`dob`,`ingetion_timestamp
[2024-07-14T03:09:26.344+0530] {logging_mixin.py:188} INFO - ('fa4c36b5-78b1-4264-b2d8-092fc95fbc5f', 'Susan Munoz', '055 Mendoza Plains Suite 246\nGonzalestown, AR 55162', '+1-841-300-7064x154', 'daniel30@example.net', '1951-01-30', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.346+0530] {logging_mixin.py:188} INFO - ('2ca0ff49-f8bc-418d-b76d-7fbe815c5c0a', 'Antonio Galloway', '7591 Dustin Spur\nNorth Angelaborough, ND 82257', '001-727-358-2518x56753', 'villarrealzachary@example.org', '1997-04-25', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.347+0530] {logging_mixin.py:188} INFO - ('b99e6039-10a9-4326-8f79-3f76caa84821', 'Jennifer Kent', '98276 Malone Mews\nHarrellland, UT 16523', '764.399.3800x2503', 'cking@example.org', '1998-12-02', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.348+0530] {logging_mixin.py:188} INFO - ('8cb7cce6-3b05-4e81-9c67-a11a21211ab3', 'Brandy Heath', '334 Smith Roads\nAndersonshire, TN 47085', '391-638-6264x822', 'gadams@example.org', '1964-01-07', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.351+0530] {logging_mixin.py:188} INFO - ('19a3fd64-58dc-4036-b9b7-080053146df7', 'Wendy Chan', '23059 Chen Mountains Suite 923\nSimsport, WV 20690', '001-996-389-5334x368', 'melanieyu@example.net', '1992-04-13', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.352+0530] {logging_mixin.py:188} INFO - ('9dcd1397-3f5d-4659-923d-8f98b09ae98d', 'Nicole Hernandez', '962 Leah Square Suite 262\nDaymouth, CA 78440', '+1-307-829-4281', 'ycook@example.net', '1963-10-29', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.353+0530] {logging_mixin.py:188} INFO - ('f96d4831-ef78-4f5f-9d18-4f92a381f4a4', 'Christina Booker', '20536 Elizabeth Mill\nPort Ronald, LA 71951', '+1-664-406-7320x94448', 'antoniomcmahon@example.net', '1967-04-07', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.354+0530] {logging_mixin.py:188} INFO - ('35335116-fb7c-4a92-b022-af8425e5177c', 'Joel Adams', '9100 Monique Glens\nBrianborough, OH 91413', '(437)495-7188', 'brennanmichael@example.com', '1998-04-10', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.354+0530] {logging_mixin.py:188} INFO - ('53ff26c0-4075-44a1-bd0f-6804602f9646', 'Tanya Thompson', '603 Moody Mission Suite 989\nWilliamsmouth, FM 81031', '851-310-3362', 'melissataylor@example.com', '1965-06-21', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.355+0530] {logging_mixin.py:188} INFO - ('0f6e152c-2300-4999-9fdb-91cdd48d4435', 'Amanda Riddle', '12822 Vargas Tunnel\nPaulchester, IL 02959', '(721)454-5996x866', 'williamwilkerson@example.net', '1973-06-29', Timestamp('2024-07-14 03:09:26.341142'))
