[2024-07-13T18:46:48.924+0530] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-13T18:46:49.310+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: raw_load_employees.insert_table manual__2024-07-13T13:16:38.211013+00:00 [queued]>
[2024-07-13T18:46:49.339+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: raw_load_employees.insert_table manual__2024-07-13T13:16:38.211013+00:00 [queued]>
[2024-07-13T18:46:49.340+0530] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-07-13T18:46:49.390+0530] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): insert_table> on 2024-07-13 13:16:38.211013+00:00
[2024-07-13T18:46:49.415+0530] {standard_task_runner.py:63} INFO - Started process 45053 to run task
[2024-07-13T18:46:49.423+0530] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'raw_load_employees', 'insert_table', 'manual__2024-07-13T13:16:38.211013+00:00', '--job-id', '1308', '--raw', '--subdir', 'DAGS_FOLDER/dag_raw_employees.py', '--cfg-path', '/tmp/tmp7vurkmnt']
[2024-07-13T18:46:49.427+0530] {standard_task_runner.py:91} INFO - Job 1308: Subtask insert_table
[2024-07-13T18:46:49.560+0530] {task_command.py:426} INFO - Running <TaskInstance: raw_load_employees.insert_table manual__2024-07-13T13:16:38.211013+00:00 [running]> on host kali
[2024-07-13T18:46:49.784+0530] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='raw_load_employees' AIRFLOW_CTX_TASK_ID='insert_table' AIRFLOW_CTX_EXECUTION_DATE='2024-07-13T13:16:38.211013+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-07-13T13:16:38.211013+00:00'
[2024-07-13T18:46:49.785+0530] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-13T18:46:49.864+0530] {logging_mixin.py:188} INFO - employee_id`,`branch_id`,`name`,`position`,`salary`,`hire_date`,`ingetion_timestamp
[2024-07-13T18:46:49.868+0530] {logging_mixin.py:188} INFO - ('d196e964-32c0-4a29-b5e0-7b9352c246be', '9a43d826-79a5-4e0f-9585-542787ee0506', 'Juan Ruiz', 'manager', 99724.62, '2024-07-09', Timestamp('2024-07-13 18:46:49.859768'))
[2024-07-13T18:46:49.873+0530] {logging_mixin.py:188} INFO - ('febd34a4-6eb6-4ee5-a719-105139cc0f51', '18d9e595-8b68-4427-abfd-56451dc2bf08', 'Spencer Morgan', 'teller', 70293.4, '2024-07-09', Timestamp('2024-07-13 18:46:49.859768'))
[2024-07-13T18:46:49.880+0530] {logging_mixin.py:188} INFO - ('907f428c-9bcf-4724-a6b7-9337e99aa955', '9a76e6c5-5147-40e6-aa71-26fbe2ee2c78', 'Catherine Andersen', 'security', 40444.28, '2024-07-09', Timestamp('2024-07-13 18:46:49.859768'))
[2024-07-13T18:46:49.882+0530] {logging_mixin.py:188} INFO - ('5a5f1a50-38d2-4cae-8bd6-f6876b8856e6', '4df06955-064a-4b80-8a56-3cfc0f8ee03a', 'Joseph Morrison', 'customer service', 51232.11, '2024-07-09', Timestamp('2024-07-13 18:46:49.859768'))
[2024-07-13T18:46:49.884+0530] {logging_mixin.py:188} INFO - ('4d4156d1-a399-4bf7-adf7-ce173c9595e2', 'dab54483-7041-4d76-ac95-934241f3d49f', 'Adrian Johnson', 'teller', 109492.26, '2024-07-09', Timestamp('2024-07-13 18:46:49.859768'))
[2024-07-13T18:46:49.886+0530] {logging_mixin.py:188} INFO - ('3813301b-1d47-45e3-99a3-19b05b96d0a5', 'c3caeb58-3b55-481b-bb2d-9acb8a785dbe', 'Anthony Maddox', 'security', 53969.68, '2024-07-09', Timestamp('2024-07-13 18:46:49.859768'))
[2024-07-13T18:46:49.888+0530] {logging_mixin.py:188} INFO - ('ecfe8f6b-6a37-40ab-83c9-f5cd671be9f1', '1fd08f4d-91ce-4d6d-b34b-b9560e3bd055', 'Maureen Miller', 'customer service', 84028.09, '2024-07-09', Timestamp('2024-07-13 18:46:49.859768'))
[2024-07-13T18:46:49.890+0530] {logging_mixin.py:188} INFO - ('08c5fca9-0738-4877-85d4-9153464a6d96', 'c475a607-7b08-40c2-8d91-eb2c614b7222', 'Rodney Simon', 'security', 38655.15, '2024-07-09', Timestamp('2024-07-13 18:46:49.859768'))
[2024-07-13T18:46:49.892+0530] {logging_mixin.py:188} INFO - ('910b2d7b-6a75-4d44-949b-5c655b8faa4b', '4df06955-064a-4b80-8a56-3cfc0f8ee03a', 'Terry Aguilar', 'manager', 101081.68, '2024-07-09', Timestamp('2024-07-13 18:46:49.859768'))
[2024-07-13T18:46:49.894+0530] {logging_mixin.py:188} INFO - ('710dabfe-68b8-4115-a70a-48d0052efbc5', 'ae180754-ddad-4113-a334-8b0f4a658756', 'Jordan Sanders', 'customer service', 70524.56, '2024-07-09', Timestamp('2024-07-13 18:46:49.859768'))
